name,m_f,approx_percentage,num_in_us,rank,source_census,source_web
FRANK,f,0.002,"3,036",2691,1990,http://names.mongabay.com/female_names_alpha.htm
FRANKIE,f,0.022,"33,398",570,1990,http://names.mongabay.com/female_names_alpha.htm
FRANSISCA,f,0.001,"1,518",4156,1990,http://names.mongabay.com/female_names_alpha.htm
FRED,f,0.001,"1,518",3812,1990,http://names.mongabay.com/female_names_alpha.htm
FREDA,f,0.034,"51,615",432,1990,http://names.mongabay.com/female_names_alpha.htm
FREDDA,f,0.001,"1,518",3811,1990,http://names.mongabay.com/female_names_alpha.htm
FREDDIE,f,0.007,"10,627",1104,1990,http://names.mongabay.com/female_names_alpha.htm
FREDERICA,f,0.002,"3,036",2398,1990,http://names.mongabay.com/female_names_alpha.htm
FREDERICKA,f,0.002,"3,036",2587,1990,http://names.mongabay.com/female_names_alpha.htm
FREDIA,f,0.002,"3,036",2460,1990,http://names.mongabay.com/female_names_alpha.htm
FREDRICKA,f,0.001,"1,518",3649,1990,http://names.mongabay.com/female_names_alpha.htm
FREEDA,f,0.002,"3,036",2397,1990,http://names.mongabay.com/female_names_alpha.htm
FREIDA,f,0.009,"13,663",935,1990,http://names.mongabay.com/female_names_alpha.htm
FRIDA,f,0.001,"1,518",3436,1990,http://names.mongabay.com/female_names_alpha.htm
FRIEDA,f,0.017,"25,808",651,1990,http://names.mongabay.com/female_names_alpha.htm
FUMIKO,f,0.002,"3,036",2799,1990,http://names.mongabay.com/female_names_alpha.htm
GABRIEL,f,0.003,"4,554",2035,1990,http://names.mongabay.com/female_names_alpha.htm
GABRIELA,f,0.018,"27,326",628,1990,http://names.mongabay.com/female_names_alpha.htm
GABRIELE,f,0.002,"3,036",2182,1990,http://names.mongabay.com/female_names_alpha.htm
GABRIELLA,f,0.005,"7,590",1344,1990,http://names.mongabay.com/female_names_alpha.htm
GABRIELLE,f,0.017,"25,808",659,1990,http://names.mongabay.com/female_names_alpha.htm
GAIL,f,0.145,"220,123",155,1990,http://names.mongabay.com/female_names_alpha.htm
GALA,f,0.001,"1,518",3810,1990,http://names.mongabay.com/female_names_alpha.htm
